"","ID","Long","Lat","as.numeric.elevation."
"1","MX_DR_FC1",-95.003176,16.658573,133.998154
"2","MX_DR_FC2",-95.008337,16.650978,116.617691
"3","MX_DR_FC3",-95.00642,16.649346,110.655228
"4","MX_DR_FC4",-95.017584,16.661163,111.802643
"5","MX_DR_FC5",-95.014999,16.663428,116.491287
"6","MX_DR_FC6",-95.019434,16.662797,106.610725
"7","MX_DR_FC7",-95.021311,16.663643,104.035049
"8","MX_DR_FC8",-95.01311,16.664542,131.323792
"9","MX_DR_FC9",-95.006404,16.6614,96.331863
"10","MX_DR_FC10",-95.004408,16.661658,105.256844
"11","MX_DR_FC11",-95.001803,16.660593,105.256844
"12","MX_DR_FC12",-94.999146,16.659119,99.72242
"13","MX_DR_FC13",-94.996878,16.656925,105.850044
"14","MX_DR_FC14",-94.99733,16.655969,104.456573
"15","MX_DR_FC15",-94.999412,16.659193,102.68338
"16","MX_DR_FC16",-95.009667,16.650208,127.922043
"17","MX_DR_FC17",-95.009174,16.648848,119.997406
"18","MX_DR_FC18",-95.009547,16.649999,118.790382
"19","MX_DR_FC19",-95.011243,16.641492,79.259232
"20","MX_DR_FC20",-95.011008,16.652934,96.464874
"21","MX_DR_FC21",-95.021283,16.657686,115.222336
