system:index,Date,.geo
0,NDMI_19920910,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,NDMI_19930116,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,NDMI_19930201,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,NDMI_19930217,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,NDMI_19930305,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,NDMI_19930321,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,NDMI_19930406,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,NDMI_19930508,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,NDMI_19930524,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,NDMI_19930609,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,NDMI_19930711,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,NDMI_19930727,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,NDMI_19930812,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,NDMI_19930929,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,NDMI_19931015,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,NDMI_19931116,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,NDMI_19931202,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,NDMI_19931218,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,NDMI_19940103,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,NDMI_19940119,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,NDMI_19940204,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,NDMI_19940220,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,NDMI_19940308,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,NDMI_19940324,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,NDMI_19940409,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,NDMI_19940511,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,NDMI_19940527,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,NDMI_19940612,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,NDMI_19940628,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,NDMI_19940714,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,NDMI_19940730,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,NDMI_19940815,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,NDMI_19940916,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,NDMI_19941002,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,NDMI_19941018,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,NDMI_19941119,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,NDMI_19941205,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,NDMI_19941221,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,NDMI_19950106,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,NDMI_19950122,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,NDMI_19950207,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,NDMI_19950223,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,NDMI_19950311,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,NDMI_19950327,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,NDMI_19950412,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,NDMI_19950428,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,NDMI_19950514,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,NDMI_19950530,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,NDMI_19950615,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,NDMI_19950717,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,NDMI_19950802,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,NDMI_19950903,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,NDMI_19951021,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,NDMI_19951122,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,NDMI_19951208,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,NDMI_19951224,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,NDMI_19960109,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,NDMI_19960210,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,NDMI_19960226,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,NDMI_19960313,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,NDMI_19960329,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,NDMI_19960414,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,NDMI_19960430,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,NDMI_19960516,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,NDMI_19960601,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,NDMI_19960719,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,NDMI_19960804,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,NDMI_19960820,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,NDMI_19960905,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,NDMI_19961023,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,NDMI_19961108,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,NDMI_19961124,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,NDMI_19961210,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,NDMI_19961226,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,NDMI_19970111,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,NDMI_19970127,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,NDMI_19970212,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,NDMI_19970228,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,NDMI_19970316,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,NDMI_19970401,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,NDMI_19970417,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,NDMI_19970503,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,NDMI_19970519,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,NDMI_19970620,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,NDMI_19970706,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,NDMI_19970722,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,NDMI_19970823,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,NDMI_19970908,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,NDMI_19970924,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,NDMI_19971010,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,NDMI_19971026,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,NDMI_19971127,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,NDMI_19971213,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,NDMI_19980114,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,NDMI_19980130,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,NDMI_19980215,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,NDMI_19980303,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,NDMI_19980319,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,NDMI_19980404,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,NDMI_19980420,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,NDMI_19980506,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,NDMI_19980522,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,NDMI_19980607,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,NDMI_19980623,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,NDMI_19980810,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,NDMI_19980826,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,NDMI_19981029,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,NDMI_19981114,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,NDMI_19981130,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,NDMI_19990101,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,NDMI_19990117,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,NDMI_19990202,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,NDMI_19990218,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,NDMI_19990306,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,NDMI_19990322,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,NDMI_19990407,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,NDMI_19990423,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,NDMI_19990509,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,NDMI_19990525,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,NDMI_19990610,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,NDMI_19990626,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,NDMI_19990728,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,NDMI_19990805,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,NDMI_19990813,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,NDMI_19990906,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,NDMI_19991016,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,NDMI_19991024,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,NDMI_19991101,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,NDMI_19991125,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,NDMI_19991203,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,NDMI_19991211,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,NDMI_19991219,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,NDMI_20000120,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,NDMI_20000128,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,NDMI_20000205,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,NDMI_20000221,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,NDMI_20000308,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,NDMI_20000316,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,NDMI_20000425,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,NDMI_20000511,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,NDMI_20000527,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,NDMI_20000604,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,NDMI_20000706,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,NDMI_20000714,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,NDMI_20000722,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,NDMI_20000807,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,NDMI_20000815,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,NDMI_20000831,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,NDMI_20000924,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,NDMI_20001002,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,NDMI_20001018,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,NDMI_20001103,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,NDMI_20001205,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,NDMI_20001213,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,NDMI_20001221,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,NDMI_20010106,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,NDMI_20010114,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,NDMI_20010122,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,NDMI_20010130,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,NDMI_20010207,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,NDMI_20010215,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,NDMI_20010223,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,NDMI_20010311,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,NDMI_20010327,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,NDMI_20010404,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,NDMI_20010428,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,NDMI_20010506,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,NDMI_20010514,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,NDMI_20010530,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,NDMI_20010607,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,NDMI_20010615,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,NDMI_20010623,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,NDMI_20010701,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,NDMI_20010725,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,NDMI_20010826,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,NDMI_20010911,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,NDMI_20011013,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,NDMI_20011130,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,NDMI_20011216,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,NDMI_20020407,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,NDMI_20020525,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,NDMI_20020610,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,NDMI_20020626,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,NDMI_20020712,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,NDMI_20020930,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,NDMI_20021203,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,NDMI_20021219,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,NDMI_20030120,"{""type"":""MultiPoint"",""coordinates"":[]}"
