"","ID","Long","Lat","as.numeric.elevation."
"1","MX_WT_FC1",-90.991118,16.090796,178.409943
"2","MX_WT_FC2",-90.989239,16.099444,176.045731
"3","MX_WT_FC3",-90.978963,16.09389,171.552292
"4","MX_WT_FC4",-90.979377,16.090478,164.66272
"5","MX_WT_FC5",-91.010397,16.097593,184.554337
"6","MX_WT_FC6",-90.973628,16.083449,173.061218
"7","MX_WT_FC7",-90.97308,16.084639,170.322464
"8","MX_WT_FC8",-90.974254,16.087577,177.834518
"9","MX_WT_FC9",-90.974142,16.086207,172.382309
"10","MX_WT_FC10",-90.975376,16.09498,167.494247
"11","MX_WT_FC11",-90.975349,16.092672,165.162399
"12","MX_WT_FC12",-90.975256,16.090166,177.000732
"13","MX_WT_FC13",-90.98569,16.082946,212.253098
"14","MX_WT_FC14",-90.97612,16.078289,187.591904
"15","MX_WT_FC15",-90.984139,16.077198,183.170441
"16","MX_WT_FC16",-91.001898,16.07651,199.581085
"17","MX_WT_FC17",-91.000754,16.076924,201.444168
"18","MX_WT_FC18",-90.988971,16.079247,189.356354
"19","MX_WT_FC19",-90.96678,16.093141,171.306168
"20","MX_WT_FC20",-90.967015,16.097287,167.060196
