system:index,Date,.geo
0,NDMI_19920719,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,NDMI_19920820,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,NDMI_19920905,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,NDMI_19920921,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,NDMI_19921007,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,NDMI_19921023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,NDMI_19921124,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,NDMI_19921210,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,NDMI_19921226,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,NDMI_19930111,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,NDMI_19930212,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,NDMI_19930228,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,NDMI_19930316,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,NDMI_19930401,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,NDMI_19930417,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,NDMI_19930503,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,NDMI_19930519,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,NDMI_19930604,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,NDMI_19930722,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,NDMI_19931111,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,NDMI_19931127,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,NDMI_19931213,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,NDMI_19940130,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,NDMI_19940303,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,NDMI_19940319,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,NDMI_19940404,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,NDMI_19940420,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,NDMI_19940506,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,NDMI_19940607,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,NDMI_19940623,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,NDMI_19940725,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,NDMI_19940810,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,NDMI_19940826,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,NDMI_19940911,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,NDMI_19941029,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,NDMI_19941114,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,NDMI_19941216,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,NDMI_19950101,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,NDMI_19950202,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,NDMI_19950218,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,NDMI_19950306,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,NDMI_19950322,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,NDMI_19950407,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,NDMI_19950423,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,NDMI_19950509,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,NDMI_19950525,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,NDMI_19950610,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,NDMI_19950728,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,NDMI_19950914,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,NDMI_19950930,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,NDMI_19951016,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,NDMI_19951101,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,NDMI_19951203,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,NDMI_19960104,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,NDMI_19960120,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,NDMI_19960221,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,NDMI_19960324,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,NDMI_19960425,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,NDMI_19960527,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,NDMI_19960612,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,NDMI_19960714,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,NDMI_19960831,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,NDMI_19960916,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,NDMI_19961002,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,NDMI_19961018,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,NDMI_19961205,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,NDMI_19970106,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,NDMI_19970122,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,NDMI_19970207,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,NDMI_19970311,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,NDMI_19970327,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,NDMI_19970412,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,NDMI_19970514,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,NDMI_19970615,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,NDMI_19970717,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,NDMI_19970818,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,NDMI_19970903,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,NDMI_19971122,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,NDMI_19971208,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,NDMI_19971224,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,NDMI_19980109,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,NDMI_19980210,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,NDMI_19980226,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,NDMI_19980330,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,NDMI_19980415,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,NDMI_19980501,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,NDMI_19980517,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,NDMI_19980602,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,NDMI_19980618,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,NDMI_19980704,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,NDMI_19980720,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,NDMI_19980821,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,NDMI_19980922,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,NDMI_19981109,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,NDMI_19981211,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,NDMI_19981227,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,NDMI_19990112,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,NDMI_19990128,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,NDMI_19990301,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,NDMI_19990317,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,NDMI_19990402,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,NDMI_19990504,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,NDMI_19990520,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,NDMI_19990605,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,NDMI_19990621,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,NDMI_19990707,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,NDMI_19990731,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,NDMI_19990808,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,NDMI_19990824,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,NDMI_19990925,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,NDMI_19991011,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,NDMI_19991027,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,NDMI_19991120,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,NDMI_19991230,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,NDMI_20000123,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,NDMI_20000131,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,NDMI_20000216,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,NDMI_20000303,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,NDMI_20000404,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,NDMI_20000420,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,NDMI_20000428,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,NDMI_20000506,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,NDMI_20000530,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,NDMI_20000607,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,NDMI_20000615,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,NDMI_20000623,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,NDMI_20000701,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,NDMI_20000818,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,NDMI_20000826,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,NDMI_20000903,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,NDMI_20000911,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,NDMI_20001005,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,NDMI_20001029,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,NDMI_20001114,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,NDMI_20001216,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,NDMI_20010101,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,NDMI_20010117,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,NDMI_20010218,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,NDMI_20010226,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,NDMI_20010306,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,NDMI_20010314,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,NDMI_20010322,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,NDMI_20010330,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,NDMI_20010407,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,NDMI_20010423,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,NDMI_20010517,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,NDMI_20010610,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,NDMI_20010626,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,NDMI_20010720,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,NDMI_20011024,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,NDMI_20011109,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,NDMI_20020213,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,NDMI_20020317,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,NDMI_20020402,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,NDMI_20020504,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,NDMI_20020707,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,NDMI_20020723,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,NDMI_20020808,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,NDMI_20021011,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,NDMI_20021112,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,NDMI_20030216,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,NDMI_20030320,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,NDMI_20030421,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,NDMI_20030507,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,NDMI_20030811,"{""type"":""MultiPoint"",""coordinates"":[]}"
