"","ID","season","abundance","richness","dispersal_sum","dispersal_abiotic","dispersal_a/biotic","dispersal_NA","dispersal_biotic","guild_sum","guild_pioneer","guild_shadetolerant","guild_NA","guild_generalist"
"1","MX_DR_FC1","dry",274,3,3,1,0,0,0,3,0.333333333333333,0.333333333333333,0.333333333333333,0
"2","MX_DR_FC1","wet",15,5,5,1,0,0,0,5,0.8,0,0,0.2
"3","MX_DR_FC10","dry",13851,11,11,0.727272727272727,0.181818181818182,0.0909090909090909,0,11,0.454545454545455,0.0909090909090909,0.181818181818182,0.272727272727273
"4","MX_DR_FC10","wet",23,3,3,1,0,0,0,3,0.666666666666667,0,0.333333333333333,0
"5","MX_DR_FC11","dry",19,3,3,1,0,0,0,3,0.333333333333333,0,0.666666666666667,0
"6","MX_DR_FC11","wet",39,3,3,1,0,0,0,3,0.666666666666667,0,0.333333333333333,0
"7","MX_DR_FC12","wet",3,1,1,0,0,1,0,1,0,0,1,0
"8","MX_DR_FC13","dry",206,12,12,0.666666666666667,0,0.25,0.0833333333333333,12,0.5,0.0833333333333333,0.333333333333333,0.0833333333333333
"9","MX_DR_FC13","wet",22,5,5,1,0,0,0,5,0.8,0,0.2,0
"10","MX_DR_FC14","dry",983,4,4,1,0,0,0,4,0.25,0.5,0.25,0
"11","MX_DR_FC14","wet",30,5,5,1,0,0,0,5,0.8,0,0.2,0
"12","MX_DR_FC15","dry",12,2,2,1,0,0,0,2,0,0,0.5,0.5
"13","MX_DR_FC15","wet",5,2,2,0.5,0,0,0.5,2,0.5,0.5,0,0
"14","MX_DR_FC16","dry",162,5,5,0.8,0.2,0,0,5,0.4,0,0.2,0.4
"15","MX_DR_FC16","wet",32,5,5,1,0,0,0,5,0.6,0.2,0.2,0
"16","MX_DR_FC17","dry",176,4,4,1,0,0,0,4,0.5,0.25,0.25,0
"17","MX_DR_FC17","wet",15,3,3,1,0,0,0,3,0.666666666666667,0,0.333333333333333,0
"18","MX_DR_FC18","dry",56,5,5,0.8,0,0,0.2,5,0.6,0,0.2,0.2
"19","MX_DR_FC18","wet",24,3,3,1,0,0,0,3,0.666666666666667,0,0.333333333333333,0
"20","MX_DR_FC19","dry",40,10,10,0.8,0.1,0.1,0,10,0.4,0,0.2,0.4
"21","MX_DR_FC19","wet",75,5,5,0.8,0.2,0,0,5,0.6,0,0.4,0
"22","MX_DR_FC2","dry",18,5,5,0.8,0.2,0,0,5,0.6,0,0,0.4
"23","MX_DR_FC2","wet",115,2,2,1,0,0,0,2,1,0,0,0
"24","MX_DR_FC20","dry",20,3,3,1,0,0,0,3,0,0,0.666666666666667,0.333333333333333
"25","MX_DR_FC20","wet",1,1,1,1,0,0,0,1,1,0,0,0
"26","MX_DR_FC21","dry",36,10,10,0.7,0,0.2,0.1,10,0.3,0.1,0.4,0.2
"27","MX_DR_FC3","dry",45,6,6,1,0,0,0,6,0.5,0.333333333333333,0.166666666666667,0
"28","MX_DR_FC3","wet",111,1,1,1,0,0,0,1,1,0,0,0
"29","MX_DR_FC4","dry",54,5,5,0.8,0.2,0,0,5,0.6,0,0.2,0.2
"30","MX_DR_FC4","wet",387,2,2,1,0,0,0,2,1,0,0,0
"31","MX_DR_FC5","dry",61,6,6,1,0,0,0,6,0.5,0.166666666666667,0.166666666666667,0.166666666666667
"32","MX_DR_FC5","wet",3,1,1,1,0,0,0,1,1,0,0,0
"33","MX_DR_FC7","dry",124,4,4,0.75,0,0.25,0,4,0.25,0.25,0.5,0
"34","MX_DR_FC7","wet",29,6,6,0.833333333333333,0.166666666666667,0,0,6,0.5,0,0.166666666666667,0.333333333333333
"35","MX_DR_FC8","dry",7,4,4,0.75,0.25,0,0,4,0.5,0,0.25,0.25
"36","MX_DR_FC8","wet",18,2,2,1,0,0,0,2,1,0,0,0
"37","MX_DR_FC9","dry",66,6,6,1,0,0,0,6,0.5,0,0.333333333333333,0.166666666666667
"38","MX_DR_FC9","wet",8,4,4,0.75,0,0,0.25,4,0.75,0,0.25,0
