"","ID","season","abundance","richness","dispersal_sum","dispersal_abiotic","dispersal_biotic","dispersal_NA","dispersal_a/biotic","guild_sum","guild_pioneer","guild_shadetolerant","guild_generalist","guild_NA"
"1","MX_WT_FC1","dry",41,2,2,0.5,0.5,0,0,2,0.5,0.5,0,0
"2","MX_WT_FC1","wet",1327,11,11,0.727272727272727,0.181818181818182,0.0909090909090909,0,11,0.636363636363636,0.0909090909090909,0.181818181818182,0.0909090909090909
"3","MX_WT_FC10","dry",38,3,3,1,0,0,0,3,0.333333333333333,0,0.666666666666667,0
"4","MX_WT_FC10","wet",93,13,13,0.538461538461538,0.384615384615385,0.0769230769230769,0,13,0.615384615384615,0.0769230769230769,0.153846153846154,0.153846153846154
"5","MX_WT_FC11","dry",9,3,3,1,0,0,0,3,1,0,0,0
"6","MX_WT_FC11","wet",34,8,8,0.875,0,0.125,0,8,0.625,0,0.25,0.125
"7","MX_WT_FC12","dry",52,3,3,1,0,0,0,3,0.666666666666667,0,0.333333333333333,0
"8","MX_WT_FC12","wet",148,15,15,0.666666666666667,0.266666666666667,0.0666666666666667,0,15,0.533333333333333,0.0666666666666667,0.266666666666667,0.133333333333333
"9","MX_WT_FC13","dry",2337,4,4,0.5,0.5,0,0,4,1,0,0,0
"10","MX_WT_FC13","wet",456,16,16,0.625,0.3125,0.0625,0,16,0.6875,0.125,0.125,0.0625
"11","MX_WT_FC14","dry",11,4,4,0,1,0,0,4,0.25,0.25,0.5,0
"12","MX_WT_FC14","wet",1337,21,21,0.428571428571429,0.523809523809524,0.0476190476190476,0,21,0.523809523809524,0.142857142857143,0.238095238095238,0.0952380952380952
"13","MX_WT_FC15","dry",9,2,2,1,0,0,0,2,1,0,0,0
"14","MX_WT_FC15","wet",57,8,8,0.625,0.25,0.125,0,8,0.625,0,0.25,0.125
"15","MX_WT_FC16","dry",514,6,6,0.333333333333333,0.333333333333333,0.166666666666667,0.166666666666667,6,0.5,0.166666666666667,0.166666666666667,0.166666666666667
"16","MX_WT_FC16","wet",794,20,20,0.55,0.35,0.05,0.05,20,0.7,0.2,0.05,0.05
"17","MX_WT_FC17","dry",44,3,3,0.333333333333333,0.333333333333333,0.333333333333333,0,3,0.666666666666667,0,0,0.333333333333333
"18","MX_WT_FC17","wet",1078,16,16,0.5625,0.375,0.0625,0,16,0.625,0.125,0.125,0.125
"19","MX_WT_FC18","dry",1,1,1,1,0,0,0,1,1,0,0,0
"20","MX_WT_FC18","wet",235,17,17,0.647058823529412,0.235294117647059,0.0588235294117647,0.0588235294117647,17,0.529411764705882,0.294117647058824,0.117647058823529,0.0588235294117647
"21","MX_WT_FC19","dry",559,2,2,1,0,0,0,2,1,0,0,0
"22","MX_WT_FC19","wet",564,17,17,0.647058823529412,0.294117647058824,0.0588235294117647,0,17,0.529411764705882,0.117647058823529,0.176470588235294,0.176470588235294
"23","MX_WT_FC2","dry",22,1,1,1,0,0,0,1,1,0,0,0
"24","MX_WT_FC2","wet",198,15,15,0.666666666666667,0.266666666666667,0.0666666666666667,0,15,0.466666666666667,0.0666666666666667,0.4,0.0666666666666667
"25","MX_WT_FC20","dry",1,1,1,0,1,0,0,1,0,0,1,0
"26","MX_WT_FC20","wet",138,12,12,0.75,0.25,0,0,12,0.75,0.0833333333333333,0.166666666666667,0
"27","MX_WT_FC3","dry",1,1,1,0,1,0,0,1,0,0,1,0
"28","MX_WT_FC3","wet",57,8,8,0.75,0.125,0.125,0,8,0.875,0,0,0.125
"29","MX_WT_FC4","dry",3,1,1,0,1,0,0,1,0,0,1,0
"30","MX_WT_FC4","wet",62,6,6,0.5,0.333333333333333,0.166666666666667,0,6,0.5,0.166666666666667,0.166666666666667,0.166666666666667
"31","MX_WT_FC5","dry",699,3,3,1,0,0,0,3,0.666666666666667,0,0.333333333333333,0
"32","MX_WT_FC5","wet",755,12,12,0.833333333333333,0.0833333333333333,0.0833333333333333,0,12,0.666666666666667,0,0.25,0.0833333333333333
"33","MX_WT_FC6","dry",2,1,1,1,0,0,0,1,1,0,0,0
"34","MX_WT_FC6","wet",93,18,18,0.611111111111111,0.333333333333333,0.0555555555555556,0,18,0.5,0.111111111111111,0.277777777777778,0.111111111111111
"35","MX_WT_FC7","dry",6,3,3,0.666666666666667,0.333333333333333,0,0,3,0.333333333333333,0.333333333333333,0.333333333333333,0
"36","MX_WT_FC7","wet",87,11,11,0.636363636363636,0.272727272727273,0.0909090909090909,0,11,0.636363636363636,0.0909090909090909,0.0909090909090909,0.181818181818182
"37","MX_WT_FC8","dry",88,2,2,1,0,0,0,2,0,0,1,0
"38","MX_WT_FC8","wet",165,9,9,0.777777777777778,0.111111111111111,0.111111111111111,0,9,0.555555555555556,0,0.222222222222222,0.222222222222222
"39","MX_WT_FC9","dry",97,5,5,0.4,0.4,0.2,0,5,0.2,0.2,0.4,0.2
"40","MX_WT_FC9","wet",97,9,9,0.666666666666667,0.222222222222222,0.111111111111111,0,9,0.444444444444444,0,0.333333333333333,0.222222222222222
